StoreSize,QueryType,MedianMillis,AvgMillis
64,init,0.819400,0.819400
64,SPO,0.003400,0.003727
64,SP_,0.011600,0.014282
64,_PO,0.006600,0.007168
64,S_O,0.031850,0.035762
64,S__,0.030700,0.036485
64,__O,0.048400,0.051285
64,_P_,1.133800,1.113657
64,___,0.002600,0.002669
64,add,0.006200,0.006219
64,delete,0.008100,0.007862
64,update,0.013600,0.014910
128,init,1.229300,1.229300
128,SPO,0.003300,0.003664
128,SP_,0.013000,0.014320
128,_PO,0.007500,0.008243
128,S_O,0.049400,0.051116
128,S__,0.104600,0.108547
128,__O,0.054100,0.055843
128,_P_,1.904700,1.828909
128,___,0.005200,0.006081
128,add,0.001450,0.003481
128,delete,0.012500,0.014340
128,update,0.020500,0.025126
256,init,2.872100,2.872100
256,SPO,0.003300,0.003447
256,SP_,0.023700,0.026632
256,_PO,0.010300,0.011885
256,S_O,0.043100,0.047145
256,S__,0.129300,0.129477
256,__O,0.054900,0.059252
256,_P_,2.325400,2.263008
256,___,0.021000,0.023567
256,add,0.004100,0.016262
256,delete,0.012100,0.013918
256,update,0.025800,0.026371
512,init,7.672100,7.672100
512,SPO,0.003800,0.004323
512,SP_,0.078400,0.081536
512,_PO,0.033800,0.038977
512,S_O,0.304000,0.295784
512,S__,0.339000,0.349259
512,__O,0.347300,0.349071
512,_P_,9.191050,9.014211
512,___,0.037700,0.040899
512,add,0.004600,0.004611
512,delete,0.005500,0.005744
512,update,0.012750,0.013948
1024,init,8.710000,8.710000
1024,SPO,0.006900,0.007463
1024,SP_,0.107500,0.120524
1024,_PO,0.068250,0.078116
1024,S_O,0.424300,0.425366
1024,S__,0.862500,0.842401
1024,__O,0.489700,0.487388
1024,_P_,17.589200,17.402210
1024,___,0.067700,0.064915
1024,add,0.006400,0.006523
1024,delete,0.013900,0.016926
1024,update,0.022000,0.027913
2048,init,19.623200,19.623200
2048,SPO,0.012100,0.012276
2048,SP_,0.162800,0.186881
2048,_PO,0.106400,0.131681
2048,S_O,0.402250,0.409462
2048,S__,1.174300,1.137477
2048,__O,0.555650,0.558744
2048,_P_,20.143300,19.414680
2048,___,0.151600,0.152145
2048,add,0.003700,0.007534
2048,delete,0.013000,0.014173
2048,update,0.017900,0.018767
4096,init,49.748900,49.748900
4096,SPO,0.006000,0.006677
4096,SP_,0.559050,0.583626
4096,_PO,0.153300,0.175869
4096,S_O,2.930050,2.804053
4096,S__,1.096100,1.113361
4096,__O,3.138000,3.038967
4096,_P_,53.904750,60.535537
4096,___,0.204600,0.256749
4096,add,0.003000,0.005391
4096,delete,0.006500,0.007569
4096,update,0.012400,0.019781
